year,month,day,hour,half,equsid
2018,1,14,2,1,"{2, 3, 4}"
2018,1,14,2,1,"{2, 3, 4}"
2018,1,14,3,0,"{2, 3, 4}"
2018,1,14,3,0,"{2, 3, 4}"
2018,1,14,3,0,"{2, 3, 4}"
2018,1,14,3,1,"{2, 3, 4}"
2018,1,14,3,1,"{2, 3, 4}"
2018,1,14,3,1,"{2, 3, 4}"
2018,1,14,4,0,"{2, 3, 4}"
2018,1,14,4,0,"{2, 3, 4}"
2018,1,14,4,0,"{2, 3, 4}"
2018,1,14,4,1,"{2, 3, 4}"
2018,1,14,4,1,"{2, 3, 4}"
2018,1,14,4,1,"{2, 3, 4}"
2018,1,14,5,0,"{2, 3, 4}"
2018,1,14,5,0,"{2, 3, 4}"
2018,1,14,5,0,"{2, 3, 4}"
2018,1,14,5,1,"{2, 3, 4}"
2018,1,14,5,1,"{2, 3, 4}"
2018,1,14,5,1,"{2, 3, 4}"
2018,1,14,6,0,"{2, 3, 4}"
2018,1,14,6,0,"{2, 3, 4}"
2018,1,14,6,0,"{2, 3, 4}"
2018,1,14,6,1,"{2, 3, 4}"
2018,1,14,6,1,"{2, 3, 4}"
2018,1,14,6,1,"{2, 3, 4}"
2018,1,14,7,0,"{2, 3, 4}"
2018,1,14,7,0,"{2, 3, 4}"
2018,1,14,7,0,"{2, 3, 4}"
2018,1,14,7,1,"{2, 3, 4}"
2018,1,14,7,1,"{2, 3, 4}"
2018,1,14,7,1,"{2, 3, 4}"
2018,1,14,8,0,"{2, 3, 4}"
2018,1,14,8,0,"{2, 3, 4}"
2018,1,14,8,0,"{2, 3, 4}"
2018,1,14,8,1,"{2, 3, 4}"
2018,1,14,8,1,"{2, 3, 4}"
2018,1,14,8,1,"{2, 3, 4}"
2018,1,14,9,0,"{2, 3, 4}"
2018,1,14,9,0,"{2, 3, 4}"
2018,1,14,9,0,"{2, 3, 4}"
2018,1,14,9,1,"{2, 3, 4}"
2018,1,14,9,1,"{2, 3, 4}"
2018,1,14,9,1,"{2, 3, 4}"
2018,1,14,10,0,"{2, 3, 4}"
2018,1,14,10,0,"{2, 3, 4}"
2018,1,14,10,0,"{2, 3, 4}"
2018,1,14,10,1,"{2, 3, 4}"
2018,1,14,10,1,"{2, 3, 4}"
2018,1,14,10,1,"{2, 3, 4}"
2018,1,14,11,0,"{2, 3, 4}"
2018,1,14,11,0,"{2, 3, 4}"
2018,1,14,11,0,"{2, 3, 4}"
2018,1,14,11,1,"{2, 3, 4}"
2018,1,14,11,1,"{2, 3, 4}"
2018,1,14,11,1,"{2, 3, 4}"
2018,1,14,12,0,"{2, 3, 4}"
2018,1,14,12,0,"{2, 3, 4}"
2018,1,14,12,0,"{2, 3, 4}"
2018,1,14,12,1,"{2, 3, 4}"
2018,1,14,12,1,"{2, 3, 4}"
2018,1,14,12,1,"{2, 3, 4}"
2018,1,14,13,0,"{2, 3, 4}"
2018,1,14,13,0,"{2, 3, 4}"
2018,1,14,13,0,"{2, 3, 4}"
2018,1,14,13,1,"{2, 3, 4}"
2018,1,14,13,1,"{2, 3, 4}"
2018,1,14,13,1,"{2, 3, 4}"
2018,1,14,14,0,"{2, 3, 4}"
2018,1,14,14,0,"{2, 3, 4}"
2018,1,14,14,0,"{2, 3, 4}"
2018,1,14,14,1,"{2, 3, 4}"
2018,1,14,14,1,"{2, 3, 4}"
2018,1,14,14,1,"{2, 3, 4}"
