,true,pre_lin,pre_ave
135,12622.832,13001.67299996868,13257.192946509429
136,13270.184,12201.845513936658,12909.306218502577
137,10522.188,12173.377337220882,13092.723206317618
138,6912.684,6964.304762457581,6666.545939169263
139,5443.852,5322.029533387632,5848.462806220032
140,13893.968,10858.53286755071,11029.331423214855
141,19823.22,13087.829343039826,14534.56125906347
142,5549.1,9081.81359989987,8890.254775812766
143,6685.2,7017.176431265261,7512.945706195224
144,8136.6,7077.824768443564,7503.153341118635
145,4856.9,5398.196583885985,6027.789758359468
146,2992.3,3962.6714425287555,5750.826209106058
147,21914.136,12609.519324118477,14280.468086607967
148,11032.192,14581.832646514556,14758.51507245683
149,10642.196000000002,12820.46366785267,13235.57518516895
150,12220.572,15365.037723912297,14871.43074362277
